Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,POP_2015,POP_2015_M,POP_2015_F,POP_2015_Rur,POP_2015_Urb,POP_2016,POP_2016_M,POP_2016_F,POP_2016_Rur,POP_2016_Urb,POP_2017,POP_2017_M,POP_2017_F,POP_2017_Rur,POP_2017_Urb,POP_2018,POP_2018_M,POP_2018_F,POP_2018_Rur,POP_2018_Urb,POP_2019,POP_2019_M,POP_2019_F,POP_2019_Rur,POP_2019_Urb,Tot_Villag
2.4618206,0.137525351,Kamwenge,UG4113,278900,136900,142000,69600,20000,289700,142500,147200,71800,20600,300500,148200,152300,74000,21200,311900,154200,157700,76200,21800,323600,160400,163200,49000,22500,643
2.774999659,0.107679265,Kanungu,UG4114,255400,122800,132600,44300,16100,259800,125000,134800,45300,16500,264300,127300,137000,46400,16900,268700,129500,139200,47800,17400,273000,131700,141300,594100,17800,503
0.991997175,0.031014732,Kapchorwa,UG2045,107600,52900,54700,541600,166000,110700,54500,56200,554600,169900,114000,56200,57800,567700,173900,117200,57900,59300,580900,178000,120500,59600,60900,192200,182000,661
2.337563938,0.097690192,Kapelebyong,UG2046,89600,44200,45400,174200,102600,92400,45700,46700,178700,105200,95200,47200,48000,183200,107800,98000,48700,49300,187700,110500,100900,50300,50600,160200,113200,0
2.338016148,0.207524163,Karenga,UG3076,60400,29400,31000,143700,26200,61800,30200,31600,147700,27000,63300,30900,32400,151800,27700,65200,32000,33200,156000,28500,66800,32700,34100,265500,29300,0
2.583163004,0.275200125,Kasese,UG4115,707600,345000,362600,247200,126000,724500,353800,370700,251700,128400,741600,362800,378800,256400,130700,758900,371900,387000,261000,133000,776100,381000,395100,170100,135400,732
1.907793578,0.155880691,Kassanda,UG1009,276800,142100,134700,147300,35000,283900,146200,137700,152700,36200,291000,150400,140600,158400,37600,298200,154600,143600,164100,38900,305400,158900,146500,161900,40300,514
2.543180431,0.197445747,Katakwi,UG2047,169900,83700,86200,127900,20000,174700,86300,88400,135800,21200,179500,88900,90600,144000,22500,184500,91600,92900,152700,23900,189500,94300,95200,121600,25300,339
2.389582234,0.144550754,Kayunga,UG1010,373200,183600,189600,110000,41200,380100,187400,192700,112900,42200,387100,191200,195900,115800,43300,394000,195000,199000,118700,44400,400900,198800,202100,196900,45500,379
1.95775919,0.126431572,Kazo,UG4116,182300,90800,91500,169600,38600,188900,94200,94700,176200,40000,196000,97900,98100,182900,41600,203000,101400,101600,189800,43200,210400,105300,105100,305500,44800,0
1.555623445,0.094647551,Kibaale,UG4117,147900,74500,73400,249500,29200,157000,79300,77700,262700,30700,166500,84300,82200,276400,32300,176600,89700,86900,290700,34000,187200,95300,91900,144600,35800,257
1.97151955,0.127881676,Kiboga,UG1011,151200,77500,73700,125300,30000,155100,79700,75400,130000,31200,159100,81900,77200,134700,32300,163100,84100,79000,139600,33500,167100,86300,80800,221900,34600,240
1.026342583,0.03974306,Kibuku,UG2048,208200,100600,107600,197800,74400,216200,104600,111600,203700,76600,224500,108800,115700,209700,78900,233000,113100,119900,215700,81100,241700,117500,124200,220700,83400,245
